feature,safe_stop_delta,safe_bankruptcy_delta,safe_risky_stop_delta,safe_avg_bet_delta,risky_stop_delta,risky_bankruptcy_delta,risky_risky_stop_delta,risky_avg_bet_delta,classified_as
L30-27141,0.36666666666666664,-0.13333333333333336,0.2333333333333333,-12.666666666666664,0.39999999999999997,-0.13333333333333336,0.1,-6.5,safe
L30-27289,0.16666666666666669,0.13333333333333336,-0.033333333333333354,-0.23333333333333428,0.23333333333333334,0.10000000000000003,0.0,-3.166666666666668,neutral
L30-2730,,0.2,0.0,7.066666666666666,,0.06666666666666665,0.09999999999999998,1.1666666666666643,neutral
L30-27310,0.3666666666666667,0.09999999999999998,-0.033333333333333326,1.0,0.30000000000000004,-0.2,0.06666666666666665,-11.166666666666666,neutral
L30-27340,0.0,-0.01149425287356326,0.03333333333333333,-8.586206896551722,0.0,0.05517241379310345,0.1,-7.419540229885055,neutral
L30-27721,,-0.033333333333333326,0.16666666666666669,1.8333333333333357,,-0.033333333333333326,0.26666666666666666,-6.5,neutral
L30-27943,0.0,-0.13333333333333336,0.06666666666666667,-16.666666666666668,0.0,0.0,0.03333333333333333,-9.166666666666668,neutral
L30-27963,0.0023809523809523794,0.06666666666666671,0.0,0.8333333333333357,0.003703703703703702,0.26666666666666666,-0.06666666666666667,11.5,neutral
L30-2812,0.4,0.033333333333333326,0.1,7.666666666666668,0.33333333333333337,-0.10000000000000003,0.19999999999999998,-8.333333333333334,neutral
L30-28155,0.0,-0.08965517241379317,0.13333333333333333,-0.5770114942528721,0.0,-0.1229885057471265,0.03333333333333333,-12.810344827586206,neutral
L30-28221,,0.033333333333333326,0.06666666666666665,-6.333333333333332,,0.0,0.06666666666666665,-8.999999999999998,neutral
L30-28538,0.07407407407407407,0.033333333333333326,0.1,-7.5,0.0,-0.13333333333333336,0.03333333333333333,-7.666666666666668,neutral
L30-28660,0.0,-0.033333333333333326,0.03333333333333333,4.333333333333332,0.0,-0.23333333333333334,0.13333333333333333,-5.166666666666668,neutral
L30-28729,0.13333333333333336,-0.033333333333333326,0.1,-14.933333333333334,0.10000000000000003,-0.13333333333333336,0.19999999999999998,-10.666666666666668,safe
L30-28808,,0.06666666666666665,0.13333333333333333,-4.333333333333332,,0.0,0.19999999999999998,-5.333333333333332,neutral
L30-29020,0.034482758620689655,0.15172413793103445,0.1,-1.2356321839080486,0.08,0.0850574712643678,0.03333333333333333,-6.235632183908049,neutral
L30-29044,0.2,-0.09999999999999998,0.033333333333333354,-11.5,0.16666666666666663,-0.2,0.06666666666666668,-13.5,safe
L30-29157,0.30000000000000004,-0.13333333333333336,0.0,-16.366666666666667,0.3666666666666667,-0.13333333333333336,0.033333333333333326,-12.666666666666668,safe
L30-29314,0.23333333333333334,0.033333333333333326,0.09999999999999998,0.6666666666666679,0.26666666666666666,0.0,-0.06666666666666668,0.6666666666666679,neutral
L30-2948,0.33333333333333337,-0.033333333333333326,0.06666666666666668,3.833333333333332,0.16666666666666666,-0.2,0.13333333333333333,-9.333333333333334,safe
L30-29755,0.0,-0.10000000000000003,0.03333333333333333,-14.000000000000004,0.038461538461538464,-0.16666666666666669,0.06666666666666668,-14.833333333333336,neutral
L30-29934,0.33333333333333337,0.0,-0.033333333333333326,-1.6666666666666643,0.30000000000000004,0.13333333333333336,0.1,1.6666666666666679,neutral
L30-30363,,-0.10000000000000003,0.0,-12.166666666666664,,-0.06666666666666665,0.06666666666666668,-8.93333333333333,neutral
L30-3069,0.07407407407407407,-0.2,0.03333333333333333,-12.333333333333332,0.0,-0.09999999999999998,0.0,-10.5,safe
L30-31063,0.43333333333333335,-0.23333333333333328,0.1,-11.166666666666668,0.23333333333333336,-0.3333333333333333,0.13333333333333333,-21.000000000000004,safe
L30-31162,0.07407407407407407,-0.1218390804597701,-0.06896551724137931,4.637931034482758,0.0,-0.02183908045977012,-0.06896551724137931,8.471264367816094,safe
